	ARID3A	ASCL2	ATF4	BATF3	CUX1	DBP	ETV5	HIF1A	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	PKNOX1	PLSCR1	PPARG	RELA	SOX4	STAT1	STAT2	STAT3	STAT4	YBX1	ZEB2	ZNF274	ZNF394
AP-1_transcription_factor_network	1	1	0.0880696937697	0.00793084313506	1	1	0.00250862869775	1.01815229436e-06	0.0110470885897	0.0388433957952	1	1	0.000365874609715	1	0.0734402746669	0.00073173983963	1	0.0821826459468	0.00548182610791	0.0079850275865	1	0.040239468058	0.0732829077389	1	1	0.0732829077389	0.000365874609715	0.00364683903867	1	1	1	1
C-MYC_pathway	1	1	1	1	1	1	5.81656835286e-06	0.00369629320024	0.014365866507	1	1	1	1	1	1	0.0120648967371	1	1	1	1	1	0.0180487137227	1	1	1	1	1	1	1	1.98646557671e-05	0.0953460153966	1
Classical_antibody-mediated_complement_activation	1	1	1	1	1	1	1	1	0.00259200562757	1	2.64726512544e-06	1	1	1	1	1	1	0.00190540130701	1	0.00313823639809	1	1	1	1	1	1	1	1	1	1	1	1
Cytokine_Signaling_in_Immune_system	3.6044231766e-07	7.96770005508e-05	1.25587391198e-06	1.28257668486e-07	4.39126163765e-07	0.0123225577868	1	4.70038976741e-07	0.000785292174193	7.11144698684e-10	1	1.57441065213e-05	7.62090390793e-12	1.49474798241e-05	4.30648849914e-10	1.00002354808e-06	1	8.85322304356e-09	8.63097462611e-07	8.49342818299e-12	3.81384024362e-09	2.53513218196e-08	3.23156696537e-05	0.0025185727612	8.73973693416e-09	1.67571258425e-07	7.62090390793e-12	1.1568594771e-07	8.73325556294e-06	1	2.21285513526e-05	8.54611022616e-07
IFN-gamma_pathway	1	1	1	0.0679825399853	1	1	0.0155908792632	4.70041032263e-06	0.0779904633047	0.0535082613292	1	1	0.0413127856202	1	1	0.00134533054692	1	1	0.0339435301163	0.0885290114365	1	0.038028741923	1	1	0.0563123862575	1	0.0105265174036	0.0413127856202	1	1	0.0234019076049	1
IL12-mediated_signaling_events	1	1	1	4.43048166405e-05	1	0.0387898177994	1	0.0167953828925	0.00301259265238	0.0134102645088	0.000181533195194	0.0971710173476	0.000816607158173	1	0.0173349888911	1	1	0.0035316585345	3.04418470209e-07	5.79933150806e-05	1	0.000664607704104	0.00147407489172	1	0.00231244284418	0.000345844799962	0.000192933681255	0.00310409375938	0.00676276181291	1	1	0.00491299575654
IL3-mediated_signaling_events	1	1	1	1	1	1	0.0161156474026	5.00095244993e-06	1	0.0555544403075	1	1	0.0429446684798	1	1	0.00276985234978	1	1	0.0352513835862	1	1	0.0396713029825	1	1	0.058736351134	1	0.0179028063308	0.0635824163686	1	1	0.0239391761167	1
Immune_System	3.37649707712e-05	0.00578410692492	3.7983746863e-05	3.67857037054e-08	0.00037347584997	0.0779983004289	0.0974262417357	1.08733613819e-05	4.8818775612e-06	1.24183996419e-11	0.00228927398522	1.45275773555e-06	1.01443298206e-11	2.91594162483e-07	7.222666909e-12	9.72202872651e-07	1	5.27655696914e-12	8.86355899787e-08	6.89548418364e-12	8.80629223831e-05	3.29948290911e-11	1.2870583499e-07	0.00239326279775	7.08427760898e-11	9.33445543083e-11	1.01443298206e-11	1.15400689005e-10	9.40562403851e-07	1	0.00165906730391	5.97229749255e-06
Integrin-linked_kinase_signaling	1	1	1	0.0167730060246	1	1	0.000700724715163	2.9673662636e-06	0.00706395414678	0.069688119117	1	1	0.00102092041928	1	1	0.000303565674182	1	0.0760141773133	0.0114908814209	0.0141993699134	1	0.0469987794493	0.0741550111815	1	1	1	0.00102092041928	0.00830264006429	1	1	1	1
Interferon_Signaling	1.99412160118e-08	1.03706212407e-06	7.37619898494e-09	3.31622721275e-05	1.08112308217e-07	1	1	3.39663786549e-05	7.16091168484e-05	1.03395070283e-12	0.0224996114192	3.01788798396e-08	8.40660874246e-13	8.78758765754e-09	2.45672371335e-11	2.69724754753e-08	1	6.25472489357e-08	1.06247569631e-07	0.0	4.22944568257e-09	0.0	1.24282629743e-07	0.000730617212318	0.0	6.32196184291e-10	8.40660874246e-13	3.45714837646e-07	1.80827574662e-05	1	8.95938365053e-07	1.3084255901e-08
Interferon_alpha/beta_signaling	5.3285841517e-08	5.21321227226e-05	2.23917865361e-08	3.68776801911e-05	2.40504091087e-08	0.0621270859962	1	0.00120422989256	0.00138590274355	6.7762462308e-12	1	1.91443039199e-09	2.16748841098e-12	7.53545004173e-10	4.08834188725e-10	4.20911238974e-07	1	1.49765414229e-05	1.56284693423e-05	5.4157345275e-11	3.49257067711e-10	1.22243326572e-11	1.42544585424e-06	0.00200742864167	1.3344880756e-12	3.0098890047e-10	2.16748841098e-12	3.23300933314e-06	2.14728197486e-05	1	4.66781999953e-06	4.63934749284e-07
PERK_regulated_gene_expression	1	1	1	1	1	1	1	1	0.03625518682	1	1	0.0040205666218	1	1	1	0.000207565635158	1	0.0297291118264	1	0.00313823639809	1	1	1	1.03515389527e-06	1	1	1	0.0117587782583	1	1	1	1
Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.	1	1	0.000255677329228	1	1	1	1	1	1	1	1	0.0179656637593	0.0489628310401	1	0.00936385267138	1	1.93084833877e-06	1	1	1	1.75108313577e-05	1	1	1	1	0.031330840479	1	1	0.0111073724603	1	1	1
The_citric_acid_(TCA)_cycle_and_respiratory_electron_transport	1	1	0.000860114265422	1	1	1	1	1	1	1	1	0.042153226572	1	1	0.00746446810334	1	4.78246187496e-06	1	1	1	7.58117586466e-05	1	1	1	1	0.0096091720187	1	1	0.0115445903231	1	1	1
Validated_targets_of_C-MYC_transcriptional_repression	1	1	1	1	1	1	0.000279555133256	0.011338460963	0.0140848751082	1	1	1	1	1	1	0.0112518500629	1	1	1	1	1	1	1	0.0801745961346	0.0895793262116	1	1	1	1	4.27120397917e-06	0.0828887710256	1
Validated_transcriptional_targets_of_AP1_family_members_Fra1_and_Fra2	1	0.0113515068795	0.0215187628609	0.00107945826294	1	1	0.0777903275448	2.40535467444e-06	0.00387302932296	0.00141806478006	1	1	0.000248693282717	1	0.0624468119514	0.00251419011649	1	0.00446620119815	0.00600906422068	0.00252976030752	1	0.00947660677745	0.00662515334979	1	0.057740781906	1	0.0010204490955	0.000248693282717	1	1	0.0511929961956	0.0809851564339
prostanoid_biosynthesis	1	0.0054671563101	1	1	1	2.53291910179e-06	1	1	0.0096680982557	0.0288653500688	1	1	0.0266451100038	1	1	1	1	0.0649581844348	1	0.0116087030767	1	0.0027118551512	0.0217621160614	1	0.00418686742746	1	1	1	1	1	1	1
