	ARID3A	ARNT	ASCL2	ATF3	BATF3	ETS2	ETV5	FOS	FOXO3	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF8	JUNB	JUND	KLF10	KLF3	KLF6	LYL1	MAFB	MSC	NFE2L1	NFE2L2	NR3C1	PKNOX1	PLSCR1	RUNX1	SOX4	TCF4	TCF7L2	TFDP2	TGIF1	TSC22D1	YBX1	ZEB2	ZNF385A
AGE/RAGE_pathway	MMP7 STAT1							MMP7 NCF1 NFKBIA STAT1				HIF1A MMP7 NCF1 NFKBIA														LGALS3 NCF1	HIF1A MMP14 NCF1 NFKB1 NFKBIA									HIF1A MMP7 NCF1 NFKBIA STAT1		
Adipogenesis			PLIN2 SOCS3 STAT1				CDKN1A ID3					AHR CEBPD CFD HIF1A KLF6 NAMPT															AHR CEBPD HIF1A KLF6 NAMPT NR3C1 PCK2 SOCS3 STAT2									HIF1A NAMPT NR3C1 STAT1		
Allograft_Rejection			CD40 CD86 STAT1	HLA-DRB5 IL1B IL2RA					C3 TUBA1A TUBA1B	LRRK2 VIM		CD80 IL1B IL2RA LRRK2	IL1B TUBA1A														CD80 CD86 IL1B IL2RA LRRK2 VIM			CD40 CD86 VIM						CD80 CD86 IL1B STAT1		
Alzheimers_Disease																													CALM1 CALM3									
Amyotrophic_lateral_sclerosis_(ALS)																														BID CASP1								
Androgen_receptor_signaling_pathway							CDKN1A NCOA4																															
Angiogenesis						MMP9 TIMP3			FLT1 TIMP3																													
Apoptosis	CASP1 IRF1 TNFSF10							CARD16 MCL1 NFKBIA				CARD16 IRF1 MCL1 MDM2 NFKBIA TNFSF10															CARD16 IRF1 IRF7 MCL1 NFKB1 NFKBIA TNFSF10			BID BIRC3 CASP1 CDKN2A PMAIP1 TNFSF10						CFLAR IRF1 IRF7 NFKBIA TNFSF10	CYCS TNFRSF1B	
Apoptosis-related_network_due_to_altered_Notch3_in_ovarian_cancer	NQO1 SQSTM1					GCLC HSPB1 TNFRSF21				IL7R VIM				GCLC TNFRSF21												GCLC NGFRAP1 TNFRSF21	IL7R NFKB1 NQO1 RIPK2 SOCS3 VIM			CDKN1A HSPA5 VIM								
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)																																ACTB ACTG1						ACTB ACTG1
Aryl_Hydrocarbon_Receptor	CCL1 CYP1B1 NQO1				CD36 GCLC	CD36 GCLC					CYP1B1 NQO1	AHR CCL1 KLF6 NFE2L2		CD36 GCLC													AHR KLF6 NFE2L2 NFKB1 NQO1			CCL1 CDKN1A LPL							CDKN1A HSP90AA1	
Aryl_Hydrocarbon_Receptor_Pathway	CYP1B1 NQO1			AHR IL1B							CYP1B1 NQO1	AHR IL1B JUNB NFE2L2															AHR IL1B NFE2L2 NQO1											
