	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CREM	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	FOS	FOXO3	GTF3A	HBP1	HES6	HIF1A	HLX	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MTF2	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFIC	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YBX3	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF385A	ZNF394	ZNF444	ZNF580	ZNF75A	ZNF780A
AGE/RAGE_pathway	1	1	1	1	1	0.0194265026195	1	1	0.0472240758404	1	1	0.0702690960001	1	1	1	1	1	1	0.0306407281761	1	1	0.0589265944465	1	1	1	1	1	0.0300823669357	0.066165076456	0.00477838689365	1	1	1	1	1	1	1	0.0203131185816	1	1	1	0.0508558398974	1	1	1	1	1	0.0461887880197	1	0.0306407281761	1	0.0396710095149	0.0337437286673	0.0369492511221	1	1	1	1	1	0.0704051069595	1	1	1	1	1	1	1	1	0.029710582708	1	1	0.0248121833789	0.0766266298856	0.0022024526422	0.0319070798115	1	0.0822402591906	0.00612493516392	1	1	0.023185155511	0.0337437286673	1	1	1	1	1	1	0.00580680383222	1	0.0404989938646	0.0341064598804	1	1	1	1	1	1	1	1	1	1	0.00806186192739	1	0.074569440369	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ATM_Signaling_Pathway	1	1	1	1	1	0.0569877739296	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0708073851199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0209274480117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Adipogenesis	0.0647834366872	1	1	1	1	0.0642528594987	1	1	1	0.0627445886548	1	0.0642528594987	1	1	1	1	1	1	1	1	1	1	0.00390756489305	1	1	0.000325319444487	1	0.0655024542894	0.0267998351358	1	1	1	1	1	0.0416419477601	1	1	0.0215192636341	1	1	1	1	1	1	1	0.0838394478128	1	0.0113456502734	1	1	1	1	1	1	0.0969763747498	0.0789109322621	1	1	1	1	1	1	1	1	0.0517757159696	1	1	0.0740617928768	1	1	1	1	0.0547936331446	1	0.038409170103	1	0.0791784850894	1	1	1	1	0.0975852134203	1	1	1	1	0.0816662688906	1	1	1	1	1	1	1	1	1	1	0.051963290934	1	0.0222625099168	1	1	1	0.0134873745005	1	1	1	0.0274327198618	0.0838955135467	1	1	1	0.0305368295458	1	1	1	0.028434145919	1	1	0.0441814574698	1
Aflatoxin_B1_metabolism	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00125563641332	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06530502836	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Allograft_Rejection	0.00812535560642	1	0.0524735205738	1	0.0275303321265	0.00161029720444	1	1	1	0.0207196600097	0.00066931687576	1	1	1	1	1	1	1	0.0181954608346	1	1	1	1	0.0170704676645	1	0.00300948810981	1	0.00294550549979	1	0.0619472399347	0.0922423043821	1	1	1	0.054323750295	0.0618900723694	1	0.0603952894402	1	1	1	1	0.0489263774029	0.0157432305944	0.0171777164242	0.0875887780273	0.015240992745	1	1	1	1	0.0237808563147	1	1	1	1	1	1	0.00166671266214	1	1	1	1	1	1	1	0.0233081600331	1	0.0028687194465	1	1	1	0.000472895613215	0.00481243634051	0.00305511505956	1	0.0454405542688	0.0335425706517	0.00343667463782	1	0.0442158079125	1	1	1	1	0.0599963293915	1	0.0537214865361	1	0.000785361015247	0.018959460266	0.00262658619679	1	1	1	0.024543702089	1	1	1	1	0.0233081600331	1	0.0142822895706	1	0.0524735205738	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.049460536642	1
Alzheimers_Disease	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0181435466488	1	1	1	1	0.0398548070998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0132272549323	1	1	0.0226896722651	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0682427838925	0.00900070697425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0854871446855	1	1	1
Amyotrophic_lateral_sclerosis_(ALS)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0614799995054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0010722487277	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0189526948563	1	1	1	1	1	1	1	1	1	0.0938200319843	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0733512156634	1	1	1	1
Androgen_receptor_signaling_pathway	0.0252879592551	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.00652352259093	1	1	1	1	1	0.0754238242295	1	1	1	1	1	0.00100403324829	1	1	0.0750128359087	1	1	1	1	0.0685674556092	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Angiogenesis	1	1	1	1	1	0.0688280983818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0852117694588	1	0.0263443494967	0.0271333961539	1	0.0506314586116	1	1	1	0.0337437286654	1	1	0.0133432945286	1	1	1	1	1	1	1	1	1	1	1	0.0151596291805	1	1	1	1	1	0.0100760124855	1	1	0.0391239850347	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0238742443405	0.0536943999734	0.0821727955588	1	0.0100651720524	0.0219186291352	1	1	1	1	1	1	1	1	1	1	1	0.00156672353776	0.0147183951727	0.0164122301005	1	1	1	0.00587461542073	1	1	1	1	1	1	0.0852117694588	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apoptosis	1	0.0393858306965	1	1	0.0763041583759	0.00298055438871	1	1	1	0.0914511610148	1	0.0123087333801	1	1	1	0.0792238807708	0.0063828987097	1	1	1	0.0189179214331	0.0970583128441	1	1	0.0189179214331	1	1	0.0714292228838	1	0.0476576251937	1	0.0730594390312	1	1	1	1	0.0667632038268	0.00925537763457	1	0.000558953187735	1	1	1	0.00164147233019	0.0494890205378	0.00484462972635	1	0.0256905747201	1	1	1	0.0667632038268	0.00519462122768	1	1	1	1	1	1	0.0162506847174	1	1	1	1	1	1	1	1	0.00107981857868	1	1	0.016437388184	1	0.0864579988417	0.0162396683797	1	0.015795853069	0.0543073867164	1	0.0284204067382	0.0151719520109	1	1	1	1	0.00216975961064	1	0.0348659558214	0.000896674271748	0.00830100410529	0.029274524991	1	1	1	0.0589576975335	1	1	1	1	1	1	1	0.0666877848636	1	1	1	1	1	0.032581342519	1	0.0177611176244	1	0.0792238807708	1	1	1	1	0.0730594390312	1	1	1
