	ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CIC_SOX1_SOX10_SOX11_SOX12_SOX13_SOX14_SOX15_SOX17_SOX18_SOX2_SOX21_SOX3_SOX4_SOX5_SOX6_SOX7_SOX8_SOX9_SRY	FOXP3	HSF2_HSF4	RFX1_RFX2_RFX3_RFX4
AAK1	26	8	9	3	0
AC004691.5	2	1	1	0	1
AC004862.6	7	2	1	2	1
AC006196.1	6	0	1	2	0
AC009948.5	4	1	0	2	1
AC012379.1	3	0	0	2	0
AC019080.1	1	0	2	1	0
AC073850.6	3	2	2	0	0
AC074286.1	13	1	11	5	0
AC084117.3	1	0	0	0	0
AC092431.2	3	1	0	1	0
AC099326.1	5	0	1	2	0
AC130709.1	7	0	1	1	1
ADCY1	9	7	4	3	1
AL035697.1	5	0	1	0	0
AL592494.5	2	1	0	0	0
ANKRD32	2	0	0	0	0
ANXA4	7	4	5	0	0
AP003354.1	7	0	1	0	0
APLF	32	5	6	4	2
AQP1	3	0	0	1	0
ARHGAP42P5	2	0	0	2	0
AZIN1	4	2	4	1	1
C19orf82	4	0	0	0	1
C4BPAP2	1	1	0	0	0
C9orf47	2	2	1	0	0
CD36	61	23	23	16	6
CREG1	5	1	1	1	0
CSTF3	4	1	2	0	0
CTC-303L1.2	2	0	0	0	0
CTD-2033A16.1	1	0	0	0	0
CTD-2301A4.3	2	1	2	1	0
CTD-2301A4.5	2	1	2	1	0
EID1	3	0	0	2	0
FAM188B	8	1	3	3	1
FBXO48	1	0	1	0	0
FREM1	30	7	6	4	3
GNAT3	18	5	4	6	1
HIF1AN	1	0	0	2	0
IDO1	8	5	3	2	1
IDO2	14	3	3	5	1
INMT-FAM188B	8	1	3	3	1
KB-1254G8.1	1	0	0	0	0
KB-1507C5.2	18	3	7	1	4
KIAA0825	2	0	0	0	0
LDHA	2	0	0	0	0
LDHC	1	0	0	0	0
MAPK1	9	0	4	6	0
MIR3159	1	0	0	0	0
MITF	31	9	12	9	7
MXD3	1	0	0	0	0
NDUFB8	4	0	1	2	1
NFAT5	1	0	0	0	0
NFE2L2	13	1	11	5	0
NQO1	1	0	0	0	0
NSD1	22	4	10	4	0
PABPC1P13	2	0	2	0	0
PARK2	201	36	68	74	10
PAWR	1	0	0	0	0
PFDN4	1	2	1	1	0
PIGCP1	1	0	0	0	1
POTED	6	0	1	1	0
PPP1R12A	4	0	0	1	0
PRELID1	1	0	0	0	0
PRKRA	2	1	0	2	0
RAB24	1	0	0	0	0
RN7SL418P	1	2	1	1	1
RN7SL487P	1	1	1	1	0
RN7SL604P	4	0	2	1	0
RNA5SP493	3	0	1	1	0
RNU6-1260P	7	0	1	0	0
RNU6-286P	6	0	0	1	0
RP11-138E16.1	7	1	1	0	0
RP11-235E17.5	1	0	0	0	1
RP11-23F23.2	1	1	1	1	0
RP11-30L15.4	3	0	1	1	0
RP11-311C24.1	1	0	0	0	0
RP11-326A13.1	1	0	1	0	0
RP11-337N6.1	5	0	3	2	0
RP11-337N6.2	5	0	1	0	0
RP11-343N15.2	2	1	0	0	0
RP11-44K6.2	3	3	1	0	1
RP11-44K6.3	19	6	4	5	1
RP11-44K6.4	5	2	1	1	1
RP11-44K6.5	2	0	0	1	0
RP11-530C5.1	18	3	4	9	0
RP11-536C10.12	2	0	0	2	0
RP11-536C10.13	2	0	0	2	0
RP11-536C10.16	2	0	0	2	0
RP11-536C10.7	2	0	0	2	0
RP11-626K17.5	8	1	8	1	0
RP11-77O7.1	2	0	0	1	0
RP11-82L18.4	1	1	0	0	0
RPL5P24	4	0	1	0	3
S1PR3	2	2	1	0	0
SEC31B	6	0	1	2	1
SHC3	1	0	0	0	0
SHC4	18	6	12	4	0
SHPK	1	0	1	0	1
SNORA36C	4	0	0	1	0
snoU13	5	2	3	1	0
SNRPBP1	4	0	1	1	1
TCEA1	6	1	1	2	0
TCP11L1	9	2	4	0	1
TUBGCP4	2	1	3	2	0
U95743.1	3	1	2	2	2
WNT8B	1	0	0	0	0
Y_RNA	4	0	0	0	0
ZKSCAN2	1	0	0	0	0
ZNF562	5	0	0	0	2
ZSCAN29	1	0	2	1	0
ACTR3BP3	0	1	1	0	0
RP11-427H3.3	0	1	1	0	0
CTNS	0	0	1	0	0
KB-1507C5.3	0	0	1	0	1
MIR3118-5	0	0	1	0	0
PACRG	0	0	1	0	0
PLEKHA6	0	0	1	0	0
RP1-34L19.1	0	0	1	0	0
RP11-203F10.5	0	0	1	0	0
RP11-20J1.1	0	0	1	1	0
RP11-23F23.3	0	0	1	0	0
SOD1P1	0	0	1	0	0
SPINT4	0	0	1	0	0
TP53BP1	0	0	1	0	0
AGPS	0	0	0	1	0
KRT8P44	0	0	0	2	0
RGS20	0	0	0	1	0
