	ATF5	BATF3	CEBPD	DDIT3	DNMT1	ETS2	ETV5	FOS	HIF1A	HMG20B	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TSC22D1	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	0.0639747909364	0.0367501144009	1	0.0148326029776	1	1.23362393634e-08	1	2.17107695308e-05	1	1	1	0.042681534334	0.000732694756382	1.79247850581e-05	0.00216337217023	0.000183734888694	0.00348586192913	1	1	5.43618962401e-07	1	1	1	3.07893388563e-08	1.50177834098e-05	1.4845248934e-05	0.00266387973954	0.0107673099574	0.0228257061755	9.00203467324e-10	0.0104964753175	1.07242050795e-08	1	0.00823892138152	1	1	0.0693276418447	0.0029420709847	1
Antigen_processing_and_presentation	0.0527330375263	1	0.00183211785841	3.3629139336e-05	0.0368062141941	9.17105713957e-05	0.000183886164129	7.03772907829e-05	1	0.00707351697351	0.00263039410838	0.0765008493136	2.81214964115e-05	1.83929003196e-05	0.0118291372951	0.000293093219585	0.00943984072691	1	0.00800438251064	1.23207299918e-09	1	1	0.0368062141941	7.21589720309e-07	4.56772149928e-05	7.19066339805e-08	0.00694483244497	1	0.0016823792731	1.27488926083e-08	0.00845610439658	7.20975235069e-09	0.00897631052965	1	1	0.00470537385994	0.0117352174976	2.44026934285e-05	1
Asthma	1	1	1	0.00940443786195	1	5.08529901233e-06	1	6.51747061808e-06	1	1	1	1	0.000361744878897	7.15151337977e-05	1	0.00147777048915	0.0887157550314	1	1	6.83129940774e-05	1	1	1	0.000107874507344	0.0039129254612	0.000245446863487	0.010803534538	1	1	4.22099052377e-08	1	3.07357372886e-09	1	1	1	1	0.0454472258088	1	1
Autoimmune_thyroid_disease	1	0.0830418438811	1	0.0277801022468	1	3.73898347061e-07	1	0.000111807693431	1	1	1	0.0952548614446	0.00193959966887	0.000124508691771	0.00922488731489	0.000670333923032	0.0114358577124	1	1	1.40095642117e-05	1	1	1	9.03113150819e-07	0.000139494715426	0.000181601525526	0.00886147193482	0.0328487647916	0.0652216475136	2.93099086113e-08	0.0320848549528	6.01993015437e-08	1	0.0315131162023	1	1	1	0.00754234581648	1
Cell_adhesion_molecules_(CAMs)	0.0602160441303	0.00121728643294	1	1	0.0153341570378	1.95401263707e-05	1	0.00143227732012	1	1	1	0.00185096218771	0.026088341342	0.00408444832478	0.0181304874144	0.0196929494121	0.0255870589699	0.0497858967437	1	0.00107230053461	1	1	1	1.16686862279e-05	0.00287332545733	0.00288250067942	0.00491782082264	0.0924256055605	1	6.12111243092e-06	0.0899423336047	6.86480885415e-06	1	0.0385236639692	1	1	1	0.0196929494121	1
Chagas_disease_(American_trypanosomiasis)	1	2.8891272578e-05	1	0.0926233315041	1	1.38799406857e-07	1	1	0.00278093990049	1	1	1	7.33312296752e-06	1	1	0.0447877971859	0.0952011514393	0.0252437793528	0.000616090499643	0.00383029676423	1	1	0.00738805776437	8.17931735253e-05	0.00192090307347	0.00439283209189	4.94747888213e-08	0.00969660649374	1	0.00287819454589	1	0.00135666402439	1	1	1	1	1	1	1
Chemokine_signaling_pathway	1	3.20863446057e-06	1	1	1	2.39211906705e-06	1	1	1	1	1	0.00174304561264	0.0603934180018	1	0.006701972157	1	0.0969951576514	0.0278858612203	0.000626616998944	0.0181095875151	1	1	1	0.0281613816941	1.50194703579e-05	0.00532068244088	5.91634729696e-06	6.01659381472e-06	0.00833993825387	0.0231784581655	1	0.0642808155105	0.0492886012435	1	0.011944503654	1	1	1	1
Cytokine-cytokine_receptor_interaction	1	5.26302379456e-09	1	1	1	1.41407004994e-08	1	1	1	1	1	2.81760124929e-05	0.0362159631665	0.0457881466491	0.000256612454369	0.0519247624203	0.0333603442441	0.000163817060895	0.000320421067605	0.000510510829597	1	1	0.0186867187196	2.00784798141e-05	0.00021981932767	5.77211563754e-05	5.24863609396e-05	5.76489056492e-09	0.000608025384516	0.0011321861631	0.0183255892458	1	1.71986521983e-05	0.00791933050333	1.61563196861e-05	1	1	0.0519247624203	1
Cytosolic_DNA-sensing_pathway	1	0.00677816032637	1	1	1	1.71443566277e-06	1	1	0.051900647064	1	1	0.00162047345249	1	0.0135731765527	0.000733792452607	0.0116083160159	0.00356571503316	1	1	1	1	1	1	0.00557846814195	0.0112683504265	1	0.000359234878775	0.0535380616125	0.000358385323754	0.00540072645681	0.013132371318	1	1	0.000194766449675	0.0751616013711	1	1	1	1
Graft-versus-host_disease	0.0794071736563	0.0501740560499	1	0.0187649812538	1	3.08750836009e-09	1	4.02099137733e-05	1	1	1	1	0.00105489591277	0.00041447277957	0.020415218995	0.00419066409876	0.0343786892395	1	1	1.98202842805e-07	1	1	0.0120218351267	1.29068431054e-06	0.000313095007065	4.48839301215e-06	0.000484098489205	0.00284598819514	0.0341877737514	3.36303562776e-09	0.0740629568041	2.04311749741e-08	1	0.054820551469	1	1	0.0859137726267	0.00419066409876	1
Hematopoietic_cell_lineage	1	0.00150102296595	1	0.0694445944149	1	1.30149696465e-07	1	1.33501778937e-05	0.00671195592503	1	1	1	0.000732620169066	0.0424108246087	0.0204745838909	1	1	1	0.0604139105816	2.244789858e-06	1	1	0.0458268762219	1.68817781138e-05	0.0436083154403	0.00138870454045	0.0022955155593	2.90093165596e-05	1	4.52121340366e-10	1	0.0155586390165	0.0653814119776	0.0742629197455	0.0260802364047	1	1	1	1
Intestinal_immune_network_for_IgA_production	0.0924992584369	0.0623964568286	1	0.0221927613437	1	1.28924516019e-06	1	6.23151241343e-05	1	1	1	0.0154656481393	0.00136847418185	5.16100562442e-06	0.00554301644226	0.000422212448125	0.00102910399582	1	1	4.48974658607e-06	0.0421946967992	1	1	2.74825023849e-07	0.000513240586726	0.000504304838842	0.00579076728123	0.0222166203577	0.0452697611558	1.31039554097e-07	0.0912413840447	3.24073826663e-08	1	0.0197697329822	1	1	0.0999518346923	1	1
Leishmaniasis	1	0.0125820084232	0.00136076594923	0.000391478448691	1	9.39637256892e-11	0.00758756743387	2.27894616178e-07	0.0744131584225	1	0.00758688235453	1	1.90085649139e-05	0.00428846028477	1	0.0173610622174	1	0.0715032378955	0.00604068860968	1.73241536672e-07	0.0135032820235	1	0.00262534229926	3.37444576726e-08	0.000943581288583	1.99802321577e-07	1.1796968169e-07	0.001232913676	0.000993930477106	5.5825062254e-06	0.0813992144554	2.87234689922e-07	0.0399534747649	0.0100188412335	1	1	0.00890524797425	1	1
Measles	1	0.00451331702741	1	1	1	0.00494924582688	1	1	0.00228365931196	1	1	3.31528903275e-06	0.025593601213	4.46191182135e-06	4.51996217088e-06	6.67485806161e-06	2.00846935561e-06	1	1	1	1	1	0.0970091322144	0.000209793007806	0.000710532267828	0.0547285658198	0.00472320241636	0.0353234360436	0.00165032314727	1	5.14292204654e-05	1	1	0.00015382167395	1	1	1	0.0838941860932	1
Mineral_absorption	0.0177333372951	1	1	0.0258599094176	1	2.65271746913e-06	1	0.0795353139488	3.29993468107e-07	1	1	0.0871640236861	1	1	1	1	1	1	1	0.00915835365182	1.39587108539e-09	1	1	0.0447510656042	1	1.95955989202e-05	0.000120639679473	0.0290271857908	1	1	1	1	0.00194313495335	1	1	1	1	1	1
NOD-like_receptor_signaling_pathway	1	1.53311826511e-05	1	1	1	0.000476529856231	0.00372935889278	1	0.0459103522162	0.0360614874196	1	0.0070489549637	1	1	0.0143225075537	1	0.00286921253942	1	1	0.0587262368664	1	1	1	0.0191364589004	0.0399925716123	0.0337694309252	0.00207263468508	0.0460055600564	0.00139624295519	0.0939719977683	0.0107245921569	1	0.0239699937084	0.0468866167471	1	0.00212584506531	1	0.0746345482958	1
Osteoclast_differentiation	0.0526163004696	0.000193247054253	0.0578496713796	1	1	5.85469718278e-05	0.0526163004696	0.000165162412174	0.0315856214275	1	0.00404204140844	6.60803721659e-05	0.00310990733036	0.012926300002	0.00124343485539	1	0.00137672626643	0.00780778833767	0.0431612818411	0.00223895158055	0.0614431150187	1	0.013584815604	1.31623577293e-06	0.00753799338717	0.00201684227733	2.80790732395e-05	7.40774110708e-06	0.00121324741713	0.0320025824804	0.000712175694564	1	0.0477580017759	1.25468127099e-06	0.0145293651408	1	1	1	1
Oxidative_phosphorylation	0.000505102615521	1	1	1	1	1	1	1	1	1	1	1	1	0.046083534573	0.0147528757493	1	0.00601695746526	1	1	1	1	1.16332513334e-06	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.000106879236434	1	1
Parkinson's_disease	9.5242837177e-06	1	1	1	1	1	1	1	1	1	0.0374763426666	1	1	0.012926300002	0.0141367338547	1	0.00137672626643	1	1	0.0931982672914	0.0614431150187	1.12796382978e-06	1	1	1	0.0455646560764	1	1	0.0802425811316	1	1	1	1	1	1	1	1.69958234286e-06	1	1
Pathogenic_Escherichia_coli_infection	1	1	1	1	9.2874596902e-10	1	2.52299149194e-05	0.00153976259991	1	7.35891914072e-09	4.47413193658e-05	1	1	1	1	1	1	0.000324905560889	1	0.045680982037	1	1	1	1	1	0.0258558876583	0.0530100399896	1	0.000914606840093	1	0.00801038828393	1	1	0.0362236282196	0.0609307948683	3.39272125227e-06	1	0.00835740925824	2.6516759899e-08
Phagosome	1	1	6.1698469263e-05	4.53791482724e-07	5.91656182936e-08	9.68339087803e-08	5.55916523814e-07	5.05484543112e-13	0.0555593528961	9.67754376499e-05	1.07583416509e-07	1	6.40877946733e-05	0.00186780972717	0.0326406399985	0.000963948340259	1	0.00214559718286	0.000136981295002	1.51496607481e-08	0.0207929294112	1	0.00260329554182	9.42827962469e-06	0.0017653898376	1.28456911774e-10	7.92710908026e-09	0.0233044925102	2.70172511363e-07	1.57293111869e-09	7.82130340515e-06	1.18456526594e-05	1	0.000156773802514	1	0.00413833709535	0.0290484578096	0.00577081300203	4.43500599845e-06
Rheumatoid_arthritis	0.0763395252714	5.90403248137e-05	1	0.00983187000486	1	5.82678350014e-12	1	0.0001666793373	1	1	1	0.0390634245925	5.93576667598e-05	0.000389803107681	0.000354023595507	0.00495213429943	0.003941248076	1.57239702763e-05	0.0654809374184	2.09202377643e-09	0.0251141062015	1	0.0486789209023	3.8979305661e-06	3.99047424726e-06	1.09210298582e-08	1.06435591452e-08	1.16631908131e-07	0.00113211593661	7.13375358785e-10	0.0172749950512	1.84595851938e-08	0.070815067266	0.0109292940487	0.0284407926701	1	0.0849717064888	1	1
Staphylococcus_aureus_infection	0.0216657772687	1	6.27044794976e-08	0.00239155236739	1	0.0	0.00288687020799	1.07970499208e-09	1	1	0.000320646587118	1	9.06767994024e-11	0.00898008248074	0.045125189109	5.50481873607e-05	1	0.0442995079907	6.15280383309e-08	5.11046760465e-12	0.00644581938147	1	0.00120608445923	4.21918056048e-12	0.00120061955264	0.0	7.98387933543e-09	3.10709708504e-05	0.0727427533424	1.22766241617e-11	1	7.3805406231e-12	1	0.0022257621807	1	1	0.0034111490422	1	1
Systemic_lupus_erythematosus	0.0602160441303	1	0.00212336145284	0.0286173169501	1	1.80844069719e-08	1	0.000218716720775	1	1	1	1	2.41603922702e-06	0.0158683114657	0.0181304874144	0.000535614768914	1	1	0.0495443464397	5.70868180905e-06	0.0684531777541	1	0.0982281617045	4.36841928186e-07	0.00979339409818	6.29307311699e-05	6.68327946263e-06	0.0924256055605	0.0417347714694	9.77549148851e-07	0.0353143356884	4.69669536596e-09	1	0.0385236639692	1	1	0.00433090311156	1	1
Toll-like_receptor_signaling_pathway	1	0.000758477223637	1	0.0896115802459	1	4.88015524502e-06	1	1	0.0497665745234	1	1	0.0586991097118	0.0121655441903	0.0661781938336	0.0386185606928	0.0426742166853	0.00687711054869	0.0240001818608	1	0.010367228414	1	1	1	0.000325257610284	0.00169635567777	0.0125933639766	3.20303595425e-06	0.0850057785999	0.07291343722	0.0108845508902	0.0285314092797	0.0205737795466	1	0.0546333336578	0.0380401191803	1	1	1	1
Toxoplasmosis	1	0.0144283086527	0.0611293236555	0.00384986932032	1	7.32676753007e-05	1	0.00127627263492	1	1	1	1	0.000357308696614	0.00360942133434	1	0.0810307660748	0.0232254810207	1	1	0.00271293618351	1	1	0.0945848774682	8.99709682234e-06	0.00861033480099	0.00241839269255	0.0043515105811	1	0.03732294092	2.82636693806e-05	0.031820754193	6.15116199787e-06	1	1	1	1	1	1	1
Tuberculosis	1	0.000682700210389	0.00705709351715	1.99494120523e-05	1	7.19290671469e-09	0.0131276495735	5.05799013784e-09	0.0353299752206	1	0.00402614024986	1	1.22714771122e-06	0.00529747471315	1	1	1	0.0968662273925	0.00221572821956	1.36825942387e-06	0.0357955458669	1	3.66269046925e-06	4.23450474007e-06	0.0059860367924	7.19448500774e-10	7.92040413256e-08	0.00082284631021	0.000624974581923	2.11501106628e-08	0.00778463009778	1.09593068165e-06	1	0.0174036008678	1	1	0.000927288887531	1	1
Type_I_diabetes_mellitus	0.0826217583685	0.0531089150498	1	0.0195989265774	1	4.03676703176e-09	1	4.50500430642e-05	1	1	1	1	0.00112847864426	0.000462142606525	0.022040598456	0.00447338832946	0.0364595213281	1	1	2.46172121576e-08	1	1	0.012564483987	1.58632861724e-06	0.000356078464275	5.73258622794e-07	0.000539548874675	0.00315255745473	0.00815482460436	4.28812041431e-09	0.0782100511941	2.30200956075e-08	1	0.0587857670473	1	1	0.0893633472659	0.00447338832946	1
Viral_myocarditis	1	0.011887894136	1	0.0474448274243	0.0309639537074	8.74743905088e-08	0.00722421934987	4.12227997463e-05	1	1	0.0280270920153	0.0150892957815	0.00446867380204	0.000626182419033	0.000310503864876	0.00201201703104	0.0302682312073	1	1	1.00346799303e-06	1	1	1	1.9879491554e-06	2.1236002264e-05	8.53893919273e-06	0.0238406293464	0.00113443263145	0.00407920238779	3.22935456154e-10	0.000189332158769	2.67595529957e-07	1	0.00241594078203	0.0948319731701	0.0388658986567	1	0.0167259574471	0.00738885499515
