	ATF5	BATF3	CEBPD	DDIT3	DNMT1	ETS2	ETV5	FOS	HIF1A	HMG20B	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	MAFB	MEF2A	MTF1	MXD4	NFAT5	NFE2L2	NFKB2	NR1H3	NR3C1	POU2F2	PPARG	RBPJ	RELA	RUNX1	SP3	STAT1	TSC22D1	XBP1	YBX1	YY1	ZNF267
Allograft_rejection	2	3	0	2	0	10	0	5	0	0	0	3	3	6	5	4	4	0	0	10	0	0	0	10	7	8	4	4	4	10	4	5	0	5	0	0	2	3	0
Antigen_processing_and_presentation	3	0	4	5	2	9	6	6	0	3	7	4	5	8	6	5	5	0	4	17	0	0	2	12	9	14	5	0	8	12	6	6	4	0	0	3	4	6	0
Asthma	0	0	0	2	0	7	0	5	0	0	0	0	3	5	0	3	2	0	0	7	0	0	0	6	4	6	3	0	0	8	0	5	0	0	0	0	2	0	0
Autoimmune_thyroid_disease	0	3	0	2	0	10	0	5	0	0	0	3	3	6	5	4	4	0	0	10	0	0	0	10	7	8	4	4	4	10	4	5	0	5	0	0	0	3	0
Cell_adhesion_molecules_(CAMs)	4	9	0	0	3	13	0	6	0	0	0	9	3	7	8	4	6	3	0	13	0	0	0	14	9	11	7	6	0	12	6	5	0	9	0	0	0	4	0
Chagas_disease_(American_trypanosomiasis)	0	10	0	2	0	14	0	0	6	0	0	0	6	0	0	3	4	3	6	10	0	0	3	11	8	9	12	7	0	7	0	3	0	0	0	0	0	0	0
Chemokine_signaling_pathway	0	15	0	0	0	17	0	0	0	0	0	11	3	0	11	0	6	4	8	13	0	0	0	10	15	13	13	16	12	8	0	2	5	0	5	0	0	0	0
Cytokine-cytokine_receptor_interaction	0	22	0	0	0	24	0	0	0	0	0	17	4	8	17	5	9	8	10	21	0	0	4	20	16	21	14	24	18	13	12	0	12	17	10	0	0	5	0
Cytosolic_DNA-sensing_pathway	0	5	0	0	0	10	0	0	3	0	0	6	0	4	7	3	5	0	0	0	0	0	0	6	5	0	6	4	8	5	5	0	0	9	2	0	0	0	0
Graft-versus-host_disease	2	3	0	2	0	11	0	5	0	0	0	0	3	5	4	3	3	0	0	11	0	0	2	9	6	9	5	5	4	10	3	5	0	4	0	0	2	3	0
Hematopoietic_cell_lineage	0	7	0	2	0	13	0	7	5	0	0	0	4	4	6	0	0	0	3	14	0	0	2	11	5	9	6	10	0	14	0	2	3	6	3	0	0	0	0
Intestinal_immune_network_for_IgA_production	2	3	0	2	0	9	0	5	0	0	0	4	3	7	5	4	5	0	0	10	2	0	0	10	6	7	4	4	4	9	3	5	0	5	0	0	2	0	0
Leishmaniasis	0	5	4	4	0	15	4	8	3	0	6	0	5	5	0	3	0	2	4	14	3	0	3	13	7	13	10	7	8	9	4	5	3	7	0	0	4	0	0
Measles	0	8	0	0	0	9	0	0	7	0	0	13	3	11	14	8	12	0	0	0	0	0	2	12	10	8	7	7	11	0	12	0	0	14	0	0	0	3	0
Mineral_absorption	3	0	0	2	0	9	0	2	8	0	0	3	0	0	0	0	0	0	0	6	8	0	0	4	0	9	6	4	0	0	0	0	4	0	0	0	0	0	0
NOD-like_receptor_signaling_pathway	0	8	0	0	0	7	4	0	3	2	0	5	0	0	5	0	5	0	0	5	0	0	0	5	4	5	5	4	7	3	5	0	3	5	0	3	0	2	0
Osteoclast_differentiation	4	10	3	0	0	12	4	7	5	0	9	11	4	6	10	0	8	4	4	12	3	0	3	15	8	11	10	13	11	6	10	0	4	17	4	0	0	0	0
Oxidative_phosphorylation	7	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
Parkinson's_disease	9	0	0	0	0	0	0	0	0	0	7	0	0	6	8	0	8	0	0	8	3	4	0	0	0	8	0	0	7	0	0	0	0	0	0	0	10	0	0
Pathogenic_Escherichia_coli_infection	0	0	0	0	7	0	6	4	0	7	8	0	0	0	0	0	0	4	0	5	0	0	0	0	0	5	3	0	7	0	5	0	0	5	2	5	0	3	5
Phagosome	0	0	7	8	8	17	11	17	5	6	17	0	6	8	8	6	0	5	8	22	4	0	4	15	10	23	15	8	18	17	14	5	0	15	0	4	5	5	5
Rheumatoid_arthritis	3	9	0	3	0	18	0	6	0	0	0	5	5	7	9	4	6	6	3	18	3	0	2	12	11	16	12	13	9	14	6	6	3	8	3	0	3	0	0
Staphylococcus_aureus_infection	3	0	7	3	0	18	4	9	0	0	7	0	8	4	4	5	0	2	8	18	3	0	3	15	6	17	10	8	4	13	0	7	0	7	0	0	4	0	0
